zip_ref;municipio;CCAA;provincia;lat;lon
02312;Alcaraz;Castilla - La Mancha;Albacete;38.70291840285388;-2.5987228262021236
02313;Peñascosa;Castilla - La Mancha;Albacete;38.67430275983876;-2.4101963263706434
02314;Peñascosa;Castilla - La Mancha;Albacete;38.70830568023357;-2.3542693183307013
02315;Vianos;Castilla - La Mancha;Albacete;38.581088664228986;-2.5066047016395334
02316;Salobre;Castilla - La Mancha;Albacete;38.57541918487423;-2.547493725705601
02320;Balazote;Castilla - La Mancha;Albacete;38.886978467962464;-2.1376180029420273
02326;San Pedro;Castilla - La Mancha;Albacete;38.789744955079954;-2.1850366182501517
02327;Pozuelo;Castilla - La Mancha;Albacete;38.82303954552431;-2.0759008106447494
02328;Albacete;Castilla - La Mancha;Albacete;39.003759211859276;-2.0236000657143065
02329;Casas de Lázaro;Castilla - La Mancha;Albacete;38.77871537261218;-2.2494385783531863
02340;Robledo;Castilla - La Mancha;Albacete;38.79600342322163;-2.386010434512932
02350;Villapalacios;Castilla - La Mancha;Albacete;38.579440179302225;-2.6408527282027046
02360;Bienservida;Castilla - La Mancha;Albacete;38.530102638532924;-2.6475579324958813
02400;Hellín;Castilla - La Mancha;Albacete;38.53225433501375;-1.7096023161560734
02409;Hellín;Castilla - La Mancha;Albacete;38.46471759568127;-1.6857333471477256
02410;Liétor;Castilla - La Mancha;Albacete;38.528441607227116;-1.9348451887672307
02420;Hellín;Castilla - La Mancha;Albacete;38.49465648549335;-1.7945170767130627
02430;Elche de la Sierra;Castilla - La Mancha;Albacete;38.47638276310216;-2.0844623273262908
02434;Letur;Castilla - La Mancha;Albacete;38.312338469045;-2.1435292883336
02435;Socovos;Castilla - La Mancha;Albacete;38.33263706692908;-1.986139315653165
02436;Férez;Castilla - La Mancha;Albacete;38.38658012422452;-1.946212479792496
02437;Socovos;Castilla - La Mancha;Albacete;38.33941242338765;-1.907493586019042
02439;Letur;Castilla - La Mancha;Albacete;38.414894630098104;-2.024929235893787
02440;Molinicos;Castilla - La Mancha;Albacete;38.46857703278526;-2.236036549191183
02448;Molinicos;Castilla - La Mancha;Albacete;38.52515996840614;-2.298332828640087
02449;Molinicos;Castilla - La Mancha;Albacete;38.46932437565585;-2.2447976023624814
02450;Riópar;Castilla - La Mancha;Albacete;38.496052535225274;-2.411193859604507
02459;Riópar;Castilla - La Mancha;Albacete;38.483766085136835;-2.4205369864584054
02460;Villaverde de Guadalimar;Castilla - La Mancha;Albacete;38.46244201523499;-2.5174354756779027
02461;Cotillas;Castilla - La Mancha;Albacete;38.42262455451761;-2.497662219114659
02462;Comunidad de Cotillas y Villaverde de Guadalimar;Castilla - La Mancha;Albacete;38.41653654282203;-2.5411836800181176
02480;Yeste;Castilla - La Mancha;Albacete;38.35768113689431;-2.3193324143507055
02484;Yeste;Castilla - La Mancha;Albacete;38.33850516345613;-2.428276671433166
02485;Yeste;Castilla - La Mancha;Albacete;38.377442462083806;-2.4196906169562133
02486;Yeste;Castilla - La Mancha;Albacete;38.42097933843999;-2.2706924285271484
02487;Yeste;Castilla - La Mancha;Albacete;38.34323100937777;-2.2513697238581054
02489;Yeste;Castilla - La Mancha;Albacete;38.277900807527985;-2.391801761932499
02490;Hellín;Castilla - La Mancha;Albacete;38.414148903583616;-1.6567816723963449
02499;Hellín;Castilla - La Mancha;Albacete;38.40632316104185;-1.5766214622272992
02500;Tobarra;Castilla - La Mancha;Albacete;38.63045410983363;-1.741036397981872
02510;Chinchilla de Monte-Aragón;Castilla - La Mancha;Albacete;38.79357145414671;-1.7355031867522752
02511;Chinchilla de Monte-Aragón;Castilla - La Mancha;Albacete;38.79854040000633;-1.7955477362880174
02512;Tobarra;Castilla - La Mancha;Albacete;38.676110733495186;-1.6224832843300157
02513;Tobarra;Castilla - La Mancha;Albacete;38.56439900977068;-1.613523130030919
02520;Chinchilla de Monte-Aragón;Castilla - La Mancha;Albacete;38.94060156434186;-1.6972038800820033
02530;Nerpio;Castilla - La Mancha;Albacete;38.12957244780856;-2.2965041425152775
02534;Nerpio;Castilla - La Mancha;Albacete;38.10172545411453;-2.4291972284247936
02536;Nerpio;Castilla - La Mancha;Albacete;38.18621494121229;-2.3024273504677026
02600;Villarrobledo;Castilla - La Mancha;Albacete;39.193424577065905;-2.610225988792395
02610;El Bonillo;Castilla - La Mancha;Albacete;38.94036651121578;-2.583601566910553
02611;Ossa de Montiel;Castilla - La Mancha;Albacete;38.96875006708221;-2.7652830510169997
02612;Munera;Castilla - La Mancha;Albacete;39.08571319464703;-2.451283195249284
02614;El Ballestero;Castilla - La Mancha;Albacete;38.84442394585913;-2.475759767106397
02620;Minaya;Castilla - La Mancha;Albacete;39.221482337858816;-2.3156844894475035
02630;La Roda;Castilla - La Mancha;Albacete;39.192777791434125;-2.1433966898586347
02636;Villalgordo del Júcar;Castilla - La Mancha;Albacete;39.319487020941565;-2.0446715267214124
02637;Fuensanta;Castilla - La Mancha;Albacete;39.2406069763151;-2.0685907311640355
02638;Montalvos;Castilla - La Mancha;Albacete;39.17033617054868;-2.0315428009855245
02639;La Roda;Castilla - La Mancha;Albacete;39.080564784421554;-2.2413228286096487
02640;Almansa;Castilla - La Mancha;Albacete;38.841165215635016;-1.0903767178659187
02650;Montealegre del Castillo;Castilla - La Mancha;Albacete;38.764163448081554;-1.3071684995587074
02651;Fuente-Álamo;Castilla - La Mancha;Albacete;38.70847171177925;-1.457953833691064
02652;Ontur;Castilla - La Mancha;Albacete;38.62210670787514;-1.490124857954495
02653;Albatana;Castilla - La Mancha;Albacete;38.57616848881488;-1.5158620339387967
02660;Caudete;Castilla - La Mancha;Albacete;38.70817474792614;-1.0101231122626413
02690;Alpera;Castilla - La Mancha;Albacete;38.98866071924451;-1.2734885708086983
02691;Bonete;Castilla - La Mancha;Albacete;38.86975778546492;-1.457239322284654
02692;Pétrola;Castilla - La Mancha;Albacete;38.770985142201646;-1.5441738837365062
02693;Corral-Rubio;Castilla - La Mancha;Albacete;38.81121298717761;-1.440530683598217
02694;Higueruela;Castilla - La Mancha;Albacete;38.96637754380839;-1.4290406062629295
02695;Chinchilla de Monte-Aragón;Castilla - La Mancha;Albacete;38.87549428134945;-1.4830095562715766
02696;Hoya-Gonzalo;Castilla - La Mancha;Albacete;38.96087330170839;-1.562488750249382
03001;Alicante;C. Valenciana;Alicante;38.344385044909856;-0.486584833449719
03002;Alicante;C. Valenciana;Alicante;38.3459404339878;-0.4794272012199233
03003;Alicante;C. Valenciana;Alicante;38.339585448163646;-0.4900035071870712
03004;Alicante;C. Valenciana;Alicante;38.3498924318152;-0.4871203908891843
03005;Alicante;C. Valenciana;Alicante;38.354173360389396;-0.5022333914459772
03006;Alicante;C. Valenciana;Alicante;38.3497383828418;-0.533158633448728
03007;Alicante;C. Valenciana;Alicante;38.34058979414186;-0.5164916565853358
03008;Alicante;C. Valenciana;Alicante;38.31311506606184;-0.527612817177505
03009;Alicante;C. Valenciana;Alicante;38.36702259951128;-0.515329821266644
03010;Alicante;C. Valenciana;Alicante;38.36387059310355;-0.48922992649623437
03011;Alicante;C. Valenciana;Alicante;38.376154045251404;-0.49305157604539257
03012;Alicante;C. Valenciana;Alicante;38.358414294975546;-0.4816466419918512
03013;Alicante;C. Valenciana;Alicante;38.356685033228665;-0.47492322720781993
03014;Alicante;C. Valenciana;Alicante;38.37023517007741;-0.4838826234253977
03015;Alicante;C. Valenciana;Alicante;38.37253538883593;-0.47023786713156407
03016;Alicante;C. Valenciana;Alicante;38.36977224159362;-0.44865345957791014
03071;Elche;C. Valenciana;Alicante;38.28417320468937;-0.5606121905341269
03100;Jijona;C. Valenciana;Alicante;38.55108865795182;-0.48961575515427197
03108;Torremanzanas;C. Valenciana;Alicante;38.60484839615978;-0.4114779372475975
03109;Tibi;C. Valenciana;Alicante;38.52147896435872;-0.5943195708858585
03110;Mutxamel;C. Valenciana;Alicante;38.43444235969727;-0.47496997487903225
03111;Busot;C. Valenciana;Alicante;38.50093758712598;-0.41848820072678566
03112;Alicante;C. Valenciana;Alicante;38.44889672693916;-0.44342995475413516
03113;Alicante;C. Valenciana;Alicante;38.355781173033364;-0.5909332434820498
03114;Alicante;C. Valenciana;Alicante;38.32705634866615;-0.5608914490546967
03115;Alicante;C. Valenciana;Alicante;38.46962560202435;-0.478939237305361
03130;Santa Pola;C. Valenciana;Alicante;38.20350443785366;-0.5774164511944644
03138;Alicante;C. Valenciana;Alicante;38.164813833614865;-0.47479685188504633
03139;Elche;C. Valenciana;Alicante;38.23642370872455;-0.5997431474916336
03140;Guardamar del Segura;C. Valenciana;Alicante;38.07478199161861;-0.6606320740263293
03149;Guardamar del Segura;C. Valenciana;Alicante;38.08797226848069;-0.678034114386501
03150;Dolores;C. Valenciana;Alicante;38.13889348386229;-0.7549225726163107
03158;Catral;C. Valenciana;Alicante;38.16433625489002;-0.7939243799470236
03159;Daya Nueva;C. Valenciana;Alicante;38.109841721121036;-0.762915479298267
03160;Almoradí;C. Valenciana;Alicante;38.10738424608046;-0.7923185772322379
03169;Almoradí;C. Valenciana;Alicante;38.08438161707049;-0.7990585929082307
03170;Rojales;C. Valenciana;Alicante;38.07395059272727;-0.7188861797495355
03176;Algorfa;C. Valenciana;Alicante;38.060907901385306;-0.7506166312842714
03177;San Fulgencio;C. Valenciana;Alicante;38.1229211819439;-0.6990190668007672
03178;Benijófar;C. Valenciana;Alicante;38.07492182051484;-0.7408664144448822
03179;Almoradí;C. Valenciana;Alicante;38.087778085137636;-0.7581225760394311
03181;Torrevieja;C. Valenciana;Alicante;37.98049519914177;-0.6842555506956434
03182;Torrevieja;C. Valenciana;Alicante;37.9798801097317;-0.6719949769258798
03183;Torrevieja;C. Valenciana;Alicante;38.00025570800328;-0.6680283012586514
03184;Torrevieja;C. Valenciana;Alicante;38.00913414956972;-0.7094268660686248
03185;Torrevieja;C. Valenciana;Alicante;37.960670972511714;-0.7084971416393833
03186;Torrevieja;C. Valenciana;Alicante;37.970949766032135;-0.7385674961117833
03187;Los Montesinos;C. Valenciana;Alicante;38.02932103655334;-0.7718569196627424
03188;Torrevieja;C. Valenciana;Alicante;38.016133342857444;-0.6553365397651744
03189;Orihuela;C. Valenciana;Alicante;37.929540019565;-0.7647935038290948
03190;Pilar de la Horadada;C. Valenciana;Alicante;37.86468577150033;-0.7912998459456821
03191;Pilar de la Horadada;C. Valenciana;Alicante;37.90231946333448;-0.8316933329693116
03193;San Miguel de Salinas;C. Valenciana;Alicante;37.97483138757314;-0.8031014747526202
03194;Elche;C. Valenciana;Alicante;38.14531336540163;-0.644925385824635
03195;Elche;C. Valenciana;Alicante;38.26739735543392;-0.5482942691832502
03201;Elche;C. Valenciana;Alicante;38.26571567820551;-0.7060002805130012
03202;Elche;C. Valenciana;Alicante;38.27390451072;-0.6755542505282607
03203;Elche;C. Valenciana;Alicante;38.275426727662456;-0.6558402455334876
03204;Elche;C. Valenciana;Alicante;38.25807318946645;-0.705704874710444
03205;Elche;C. Valenciana;Alicante;38.28935016633633;-0.740540990314332
03206;Elche;C. Valenciana;Alicante;38.28082360181482;-0.7121236365547886
03207;Elche;C. Valenciana;Alicante;38.30636392166724;-0.6840800411514544
03208;Elche;C. Valenciana;Alicante;38.26519440089203;-0.6605950228516448
03290;Elche;C. Valenciana;Alicante;38.24436613074671;-0.6761576930301193
03291;Elche;C. Valenciana;Alicante;38.33099221287871;-0.6610863109448936
03292;Elche;C. Valenciana;Alicante;38.21060857733394;-0.6479622101376328
03293;Elche;C. Valenciana;Alicante;38.22780816085252;-0.720532946950042
03294;Elche;C. Valenciana;Alicante;38.17594875576036;-0.6937822078406132
03295;Elche;C. Valenciana;Alicante;38.281835593991445;-0.6271887719457523
03296;Elche;C. Valenciana;Alicante;38.22512940659316;-0.7476642752026695
03300;Orihuela;C. Valenciana;Alicante;38.09192476182648;-0.9498917056246756
03310;Jacarilla;C. Valenciana;Alicante;38.047928750278786;-0.8517194684408284
03311;Orihuela;C. Valenciana;Alicante;38.08750636217804;-0.9987592770055065
03312;Orihuela;C. Valenciana;Alicante;38.05839142678045;-0.9693779387791374
03313;Orihuela;C. Valenciana;Alicante;38.005432708973125;-0.8998097074484727
03314;Orihuela;C. Valenciana;Alicante;38.086783156278315;-0.8596912462924934
03315;Orihuela;C. Valenciana;Alicante;38.191608814271035;-0.9587032627031178
03316;Benferri;C. Valenciana;Alicante;38.132904879253324;-0.9881698268519785
03317;Orihuela;C. Valenciana;Alicante;38.135038208025065;-0.9195376639776421
03318;Orihuela;C. Valenciana;Alicante;38.17736616749185;-0.9630106585150462
03319;Orihuela;C. Valenciana;Alicante;38.03579312509506;-0.8218942836757847
03320;Elche;C. Valenciana;Alicante;38.29552206562281;-0.5871957159914363
03321;Orihuela;C. Valenciana;Alicante;38.07711631047552;-0.9240473090236367
03322;Orihuela;C. Valenciana;Alicante;38.079420959632834;-0.9088436688139182
03325;Orihuela;C. Valenciana;Alicante;38.0838741889252;-0.8896984010009579
03330;Crevillent;C. Valenciana;Alicante;38.255491184502276;-0.8261898101017136
03339;Crevillent;C. Valenciana;Alicante;38.20875019638433;-0.7944833290502228
03340;Albatera;C. Valenciana;Alicante;38.21220101938045;-0.8886136001209344
03348;Cox;C. Valenciana;Alicante;38.1546248863524;-0.8943484233761245
03349;San Isidro;C. Valenciana;Alicante;38.181274383607565;-0.8374746841060071
03350;Cox;C. Valenciana;Alicante;38.14375286192793;-0.8998666294404165
03360;Callosa de Segura;C. Valenciana;Alicante;38.13435754985495;-0.8697632622396809
03369;Rafal;C. Valenciana;Alicante;38.111737848041486;-0.8411425373471935
03370;Redován;C. Valenciana;Alicante;38.12233026574878;-0.9215065972478844
03380;Orihuela;C. Valenciana;Alicante;38.06325664326021;-0.8752701311269501
03390;Benejúzar;C. Valenciana;Alicante;38.07367076746227;-0.8319497133468372
03400;Villena;C. Valenciana;Alicante;38.58705869869046;-0.9337735688490354
03408;Villena;C. Valenciana;Alicante;38.70275766789462;-0.8740860305225666
03409;Villena;C. Valenciana;Alicante;38.6454004463309;-0.9018930577297699
03410;Biar;C. Valenciana;Alicante;38.644542409876166;-0.7479396795479945
03420;Castalla;C. Valenciana;Alicante;38.567968919379375;-0.6706119717576345
03430;Onil;C. Valenciana;Alicante;38.63335507173644;-0.6609972298138974
03440;Ibi;C. Valenciana;Alicante;38.62487030088896;-0.5629859678618654
03450;Banyeres de Mariola;C. Valenciana;Alicante;38.70548937165595;-0.6778756456396516
03460;Beneixama;C. Valenciana;Alicante;38.71858923616569;-0.7715096775963749
03469;Beneixama;C. Valenciana;Alicante;38.712717741950854;-0.7798532108602039
03501;Benidorm;C. Valenciana;Alicante;38.53873156885888;-0.1307797095710301
03502;Benidorm;C. Valenciana;Alicante;38.560479474114146;-0.14394956807331222
03503;Benidorm;C. Valenciana;Alicante;38.543919208138306;-0.09587403224851114
03509;Finestrat;C. Valenciana;Alicante;38.5741623590456;-0.20337665337330335
03510;Callosa d'En Sarrià;C. Valenciana;Alicante;38.65350096361069;-0.10468024519577733
03516;Benimantell;C. Valenciana;Alicante;38.64554087797199;-0.20269614569130728
03517;Benifato;C. Valenciana;Alicante;38.677974650892295;-0.23916989746011025
03518;Tárbena;C. Valenciana;Alicante;38.700491207832464;-0.10398090396525914
03520;Polop;C. Valenciana;Alicante;38.62079021098365;-0.1524450271006115
03530;La Nucia;C. Valenciana;Alicante;38.60111136158503;-0.12024025672341279
03540;Alicante;C. Valenciana;Alicante;38.369658441978096;-0.4213773729109734
